,business_classification,business_impact,business_relevance,category_id,data_confidentiality,eoldriver,extensibility,geographical_scope,has_dependencies,id,io_intensity,latency_sensitivity,no_of_users,scalability,service_level,source_code_available,stage,type,user_facing,workload_variation,dependencies.Hardware.Dependent,dependencies.Operating.Environment.Dependent,dependencies.Operating.System.Dependent,IsPassPlatAvail,IsHarwareSupported,IsOSSupported,IsPlatformSupported,IsDatabaseSupported,pivot.disposition_1
94,PRODIMP,SOME_PROD,REVSUP,40,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,REGIONAL,0,283,LOW,LOW,3,MIXED,BOTH,1,NEW,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
95,MISCRI,SOME_FIN_PROD,REVGEN,22,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,286,HIGH,LOW,4,VERTICAL,BOTH,1,EUMN,BATCH,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
96,NONCRI,LARGE_FIN_COMP,RISKSUP,61,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,REGIONAL,0,289,MEDIUM,LOW,5,MIXED,NONE,0,EUMN,WEB,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
97,MISCRI,SOME_PROD,REVGEN,25,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,292,HIGH,MEDIUM,6,VERTICAL,NONE,1,EMAN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
98,NONCRI,SOME_FIN_PROD,REVGEN,16,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,NATIONAL,0,295,MEDIUM,LOW,4,HORIZONTAL,PERF,1,EUMN,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
99,BUSICRI,SOME_FIN_PROD,REVSUP,67,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,LOCAL,0,298,HIGH,HIGH,3,HORIZONTAL,AVAI,1,NEW,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
100,PRODIMP,SOME_FIN_PROD,REVGEN,37,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,NATIONAL,0,301,LOW,HIGH,7,VERTICAL,NONE,1,EUMN,THICK,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
101,PRODIMP,SOME_PROD,REVGEN,52,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,REGIONAL,0,304,LOW,HIGH,3,HORIZONTAL,NONE,1,EMAN,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
102,PRODIMP,LARGE_FIN_COMP,INTSUP,19,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,INTERNATIONAL,0,307,LOW,HIGH,3,VERTICAL,AVAI,1,NEW,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
103,BUSICRI,LARGE_FIN_COMP,RISKSUP,46,APPROVED_PUBLIC_DATACENTER,BU,SOA,INTERNATIONAL,0,310,LOW,HIGH,4,HORIZONTAL,PERF,1,EUMN,BATCH,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
104,BUSICRI,LARGE_FIN_COMP,INTSUP,22,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,NATIONAL,0,313,LOW,MEDIUM,7,VERTICAL,NONE,0,NEW,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
105,NONCRI,SOME_PROD,REVSUP,40,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,REGIONAL,0,316,LOW,LOW,6,HORIZONTAL,PERF,1,EMAN,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
106,BUSIIMP,LARGE_FIN_COMP,INTSUP,40,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,319,LOW,HIGH,6,HORIZONTAL,BOTH,0,EUMN,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
107,BUSIIMP,SOME_FIN_PROD,REVSUP,55,APPROVED_PUBLIC_DATACENTER,TE,SOA,NATIONAL,0,322,LOW,MEDIUM,5,HORIZONTAL,NONE,0,EUMN,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
108,PRODIMP,LARGE_FIN_COMP,INTSUP,34,APPROVED_PUBLIC_DATACENTER,BU,SOA,LOCAL,0,325,LOW,HIGH,5,HORIZONTAL,NONE,1,EUMN,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
109,BUSIIMP,SOME_PROD,RISKSUP,49,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,INTERNATIONAL,0,328,HIGH,MEDIUM,5,MIXED,PERF,0,NEW,THICK,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
110,BUSIIMP,LARGE_FIN_COMP,REVSUP,58,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,331,MEDIUM,HIGH,4,VERTICAL,BOTH,0,NEW,BATCH,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
111,BUSICRI,SOME_PROD,INTSUP,10,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,NATIONAL,0,334,MEDIUM,LOW,4,MIXED,NONE,0,EMAN,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
112,NONCRI,LARGE_FIN_COMP,REVSUP,16,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,NATIONAL,0,337,HIGH,LOW,4,MIXED,PERF,1,NEW,THICK,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
113,BUSIIMP,LARGE_FIN_COMP,RISKSUP,22,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,REGIONAL,0,340,MEDIUM,MEDIUM,7,MIXED,PERF,0,NEW,WEB,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
114,MISCRI,SOME_PROD,INTSUP,25,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,NATIONAL,0,343,LOW,MEDIUM,5,VERTICAL,AVAI,1,EMAN,BATCH,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
115,NONCRI,SOME_FIN_PROD,REVGEN,67,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,346,MEDIUM,HIGH,4,MIXED,NONE,0,EUMN,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
116,PRODIMP,SOME_PROD,RISKSUP,19,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,NATIONAL,0,349,MEDIUM,LOW,5,HORIZONTAL,PERF,1,EUMN,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
117,NONCRI,SOME_FIN_PROD,INTSUP,61,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,NATIONAL,0,352,LOW,HIGH,4,VERTICAL,AVAI,1,NEW,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
118,NONCRI,SOME_FIN_PROD,RISKSUP,16,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,LOCAL,0,355,MEDIUM,HIGH,6,HORIZONTAL,BOTH,1,EMAN,WEB,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
119,NONCRI,LARGE_FIN_COMP,REVGEN,31,NO_CONFIDENTIALITY_REQUIREMENT,TE,SOA,NATIONAL,0,358,LOW,LOW,6,MIXED,AVAI,1,EMAN,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
120,PRODIMP,SOME_FIN_PROD,REVSUP,34,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,REGIONAL,0,361,MEDIUM,HIGH,6,MIXED,BOTH,1,EMAN,BATCH,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
121,NONCRI,SOME_FIN_PROD,INTSUP,67,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,INTERNATIONAL,0,364,HIGH,MEDIUM,4,MIXED,PERF,0,EMAN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
122,PRODIMP,SOME_PROD,INTSUP,40,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,INTERNATIONAL,0,367,LOW,MEDIUM,4,VERTICAL,PERF,0,EMAN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
123,BUSICRI,LARGE_FIN_COMP,REVGEN,13,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,REGIONAL,0,370,LOW,MEDIUM,7,VERTICAL,BOTH,1,NEW,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
124,MISCRI,LARGE_FIN_COMP,REVGEN,10,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,NATIONAL,0,373,LOW,HIGH,7,VERTICAL,AVAI,0,NEW,THICK,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
125,NONCRI,SOME_FIN_PROD,RISKSUP,19,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,376,MEDIUM,HIGH,6,VERTICAL,BOTH,1,EUMN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
126,PRODIMP,SOME_FIN_PROD,REVSUP,19,APPROVED_PUBLIC_DATACENTER,TE,INTERFACES,REGIONAL,0,379,MEDIUM,HIGH,7,HORIZONTAL,BOTH,0,EUMN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
127,PRODIMP,SOME_FIN_PROD,REVGEN,40,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,REGIONAL,0,382,HIGH,LOW,5,HORIZONTAL,AVAI,1,NEW,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
128,PRODIMP,SOME_PROD,REVGEN,61,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,LOCAL,0,385,LOW,MEDIUM,7,VERTICAL,AVAI,0,EMAN,WEB,INTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
129,BUSICRI,LARGE_FIN_COMP,RISKSUP,16,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,REGIONAL,0,388,HIGH,LOW,5,VERTICAL,NONE,1,NEW,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
130,BUSICRI,SOME_FIN_PROD,REVGEN,52,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,391,MEDIUM,MEDIUM,6,VERTICAL,PERF,1,EUMN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
131,MISCRI,SOME_FIN_PROD,INTSUP,25,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,INTERNATIONAL,0,394,MEDIUM,MEDIUM,4,MIXED,BOTH,1,EUMN,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
132,MISCRI,SOME_PROD,INTSUP,19,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,397,HIGH,LOW,7,HORIZONTAL,AVAI,1,EUMN,WEB,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
133,PRODIMP,SOME_FIN_PROD,RISKSUP,64,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,400,MEDIUM,HIGH,7,VERTICAL,BOTH,1,NEW,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
134,MISCRI,LARGE_FIN_COMP,RISKSUP,49,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,INTERNATIONAL,0,403,HIGH,HIGH,3,VERTICAL,NONE,1,NEW,BATCH,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
135,MISCRI,SOME_FIN_PROD,INTSUP,31,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,NATIONAL,0,406,MEDIUM,MEDIUM,4,MIXED,AVAI,1,EUMN,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
136,BUSICRI,LARGE_FIN_COMP,RISKSUP,40,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,NATIONAL,0,409,LOW,LOW,3,VERTICAL,AVAI,0,EMAN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
137,PRODIMP,LARGE_FIN_COMP,REVSUP,7,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,LOCAL,0,412,HIGH,MEDIUM,7,MIXED,BOTH,0,NEW,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retain
138,NONCRI,SOME_PROD,REVSUP,25,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,REGIONAL,0,415,LOW,MEDIUM,3,HORIZONTAL,AVAI,0,EUMN,BATCH,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
139,NONCRI,SOME_PROD,REVSUP,28,NO_CONFIDENTIALITY_REQUIREMENT,TE,SOA,INTERNATIONAL,0,418,MEDIUM,HIGH,7,MIXED,AVAI,1,EUMN,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
140,PRODIMP,SOME_PROD,INTSUP,31,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,421,MEDIUM,HIGH,6,HORIZONTAL,NONE,1,EUMN,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
141,PRODIMP,LARGE_FIN_COMP,INTSUP,22,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,INTERNATIONAL,0,424,LOW,HIGH,6,HORIZONTAL,PERF,1,EOL,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retire
142,BUSICRI,SOME_PROD,REVGEN,40,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,NATIONAL,0,427,MEDIUM,HIGH,7,HORIZONTAL,AVAI,0,EUMN,THICK,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
143,PRODIMP,LARGE_FIN_COMP,RISKSUP,49,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,NATIONAL,0,430,MEDIUM,MEDIUM,4,VERTICAL,BOTH,1,EMAN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
144,BUSICRI,SOME_FIN_PROD,REVSUP,16,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,LOCAL,0,433,MEDIUM,MEDIUM,5,MIXED,NONE,1,NEW,DESKTOP,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Retain
145,BUSICRI,SOME_FIN_PROD,RISKSUP,7,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,REGIONAL,0,436,LOW,HIGH,3,MIXED,AVAI,1,EMAN,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
146,MISCRI,SOME_FIN_PROD,REVSUP,22,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,REGIONAL,0,439,HIGH,MEDIUM,3,VERTICAL,AVAI,1,NEW,THICK,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
147,NONCRI,SOME_FIN_PROD,REVSUP,52,NOT_OUTSIDE_ENT_FIREWALL,TE,SOA,REGIONAL,0,442,MEDIUM,LOW,7,MIXED,AVAI,0,EMAN,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
148,PRODIMP,SOME_FIN_PROD,REVGEN,13,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,NATIONAL,0,445,HIGH,MEDIUM,5,MIXED,BOTH,0,NEW,DESKTOP,EXTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
149,MISCRI,SOME_FIN_PROD,INTSUP,16,APPROVED_PUBLIC_DATACENTER,BU,MONOLITH,INTERNATIONAL,0,448,LOW,MEDIUM,3,VERTICAL,BOTH,0,NEW,BATCH,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
150,MISCRI,LARGE_FIN_COMP,INTSUP,58,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,LOCAL,0,451,LOW,LOW,6,HORIZONTAL,PERF,1,EMAN,THICK,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
151,BUSICRI,SOME_FIN_PROD,RISKSUP,46,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,NATIONAL,0,454,LOW,LOW,3,HORIZONTAL,BOTH,1,EUMN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
152,BUSICRI,SOME_FIN_PROD,REVGEN,22,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,REGIONAL,0,457,LOW,MEDIUM,7,VERTICAL,PERF,1,EUMN,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
153,MISCRI,SOME_PROD,REVSUP,58,APPROVED_PUBLIC_DATACENTER,BU,SOA,REGIONAL,0,460,LOW,MEDIUM,4,HORIZONTAL,BOTH,1,NEW,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
154,BUSIIMP,LARGE_FIN_COMP,INTSUP,4,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,REGIONAL,0,463,MEDIUM,MEDIUM,7,VERTICAL,AVAI,1,NEW,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
155,BUSIIMP,SOME_FIN_PROD,RISKSUP,10,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,NATIONAL,0,466,MEDIUM,MEDIUM,5,VERTICAL,AVAI,1,EMAN,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Develop
156,PRODIMP,LARGE_FIN_COMP,REVSUP,7,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,INTERNATIONAL,0,469,LOW,LOW,4,MIXED,AVAI,0,NEW,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
157,BUSICRI,SOME_PROD,REVSUP,40,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,472,HIGH,MEDIUM,3,VERTICAL,AVAI,1,NEW,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
158,BUSIIMP,SOME_PROD,RISKSUP,64,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,INTERNATIONAL,0,475,MEDIUM,HIGH,4,VERTICAL,PERF,1,EUMN,DESKTOP,INTERNAL,PREDICTABLE,0,0,0,0,1,0,1,1,Retain
159,PRODIMP,SOME_FIN_PROD,REVSUP,58,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,REGIONAL,0,478,HIGH,MEDIUM,3,MIXED,BOTH,1,EUMN,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Develop
160,PRODIMP,LARGE_FIN_COMP,REVGEN,19,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,INTERNATIONAL,0,481,HIGH,HIGH,6,MIXED,PERF,1,EUMN,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,1,1,1,1,1,Modernise
161,PRODIMP,LARGE_FIN_COMP,INTSUP,61,APPROVED_PUBLIC_DATACENTER,BU,SOA,LOCAL,0,484,HIGH,HIGH,3,VERTICAL,NONE,1,NEW,WEB,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
162,BUSICRI,LARGE_FIN_COMP,INTSUP,13,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,INTERNATIONAL,0,487,MEDIUM,LOW,7,VERTICAL,NONE,1,NEW,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
163,NONCRI,LARGE_FIN_COMP,INTSUP,10,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,INTERNATIONAL,0,490,MEDIUM,MEDIUM,7,MIXED,BOTH,0,EMAN,DESKTOP,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Retain
164,BUSICRI,SOME_FIN_PROD,REVSUP,34,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,NATIONAL,0,493,LOW,MEDIUM,4,MIXED,AVAI,1,EMAN,WEB,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
165,PRODIMP,SOME_PROD,REVSUP,13,APPROVED_PUBLIC_DATACENTER,BU,INTERFACES,INTERNATIONAL,0,496,MEDIUM,HIGH,3,HORIZONTAL,NONE,1,EUMN,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
166,MISCRI,LARGE_FIN_COMP,REVSUP,52,APPROVED_PUBLIC_DATACENTER,BU,SOA,LOCAL,0,499,LOW,HIGH,4,VERTICAL,AVAI,1,EUMN,WEB,INTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
167,BUSICRI,LARGE_FIN_COMP,INTSUP,61,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,NATIONAL,0,502,HIGH,LOW,7,HORIZONTAL,NONE,1,NEW,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Modernise
168,MISCRI,LARGE_FIN_COMP,INTSUP,31,NO_CONFIDENTIALITY_REQUIREMENT,TE,SOA,REGIONAL,0,505,LOW,HIGH,7,MIXED,AVAI,0,EUMN,DESKTOP,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Retain
169,BUSICRI,LARGE_FIN_COMP,REVGEN,7,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,508,MEDIUM,LOW,6,MIXED,AVAI,1,NEW,BATCH,INTERNAL,NO_VARIATIOn,0,0,0,0,1,1,1,1,Migrate
170,BUSIIMP,SOME_PROD,REVSUP,28,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,INTERNATIONAL,0,511,MEDIUM,HIGH,3,HORIZONTAL,NONE,1,EMAN,WEB,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
171,BUSIIMP,LARGE_FIN_COMP,INTSUP,43,APPROVED_PUBLIC_DATACENTER,TE,SOA,LOCAL,0,514,LOW,LOW,5,HORIZONTAL,AVAI,0,NEW,THICK,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
172,BUSICRI,SOME_PROD,RISKSUP,34,NOT_OUTSIDE_ENT_FIREWALL,TE,MONOLITH,LOCAL,0,517,MEDIUM,MEDIUM,7,VERTICAL,AVAI,1,EUMN,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
173,MISCRI,SOME_PROD,INTSUP,4,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,LOCAL,0,520,HIGH,LOW,4,HORIZONTAL,PERF,1,NEW,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
174,NONCRI,SOME_PROD,REVGEN,28,NOT_OUTSIDE_ENT_FIREWALL,BU,SOA,INTERNATIONAL,0,523,HIGH,HIGH,5,MIXED,PERF,1,EUMN,THICK,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
175,BUSICRI,SOME_FIN_PROD,REVGEN,52,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,LOCAL,0,526,MEDIUM,HIGH,4,HORIZONTAL,BOTH,0,NEW,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
176,MISCRI,LARGE_FIN_COMP,REVSUP,58,NO_CONFIDENTIALITY_REQUIREMENT,BU,MONOLITH,INTERNATIONAL,0,529,HIGH,MEDIUM,6,VERTICAL,BOTH,1,NEW,WEB,INTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
177,BUSIIMP,SOME_FIN_PROD,INTSUP,64,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,REGIONAL,0,532,LOW,LOW,7,MIXED,NONE,1,NEW,WEB,EXTERNAL,PREDICTABLE,0,0,0,1,1,1,1,1,Modernise
178,PRODIMP,SOME_PROD,REVSUP,22,NO_CONFIDENTIALITY_REQUIREMENT,TE,INTERFACES,LOCAL,0,535,HIGH,HIGH,3,MIXED,AVAI,1,EMAN,DESKTOP,INTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
179,MISCRI,SOME_PROD,INTSUP,37,NOT_OUTSIDE_ENT_FIREWALL,TE,INTERFACES,REGIONAL,0,538,LOW,LOW,3,HORIZONTAL,BOTH,1,NEW,BATCH,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
180,BUSICRI,LARGE_FIN_COMP,RISKSUP,64,NO_CONFIDENTIALITY_REQUIREMENT,TE,MONOLITH,REGIONAL,0,541,HIGH,HIGH,4,VERTICAL,AVAI,1,EMAN,THICK,INTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
181,MISCRI,SOME_FIN_PROD,REVGEN,58,NO_CONFIDENTIALITY_REQUIREMENT,BU,SOA,LOCAL,0,544,LOW,HIGH,7,HORIZONTAL,PERF,0,EUMN,WEB,EXTERNAL,PREDICTABLE,0,0,0,0,1,1,1,1,Migrate
182,BUSICRI,SOME_FIN_PROD,REVGEN,19,NOT_OUTSIDE_ENT_FIREWALL,BU,INTERFACES,INTERNATIONAL,0,547,MEDIUM,LOW,4,MIXED,BOTH,0,EMAN,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
183,BUSIIMP,LARGE_FIN_COMP,REVSUP,64,APPROVED_PUBLIC_DATACENTER,TE,MONOLITH,REGIONAL,0,550,MEDIUM,HIGH,6,VERTICAL,PERF,0,EUMN,THICK,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
184,PRODIMP,LARGE_FIN_COMP,REVSUP,4,NOT_OUTSIDE_ENT_FIREWALL,BU,MONOLITH,LOCAL,0,553,LOW,HIGH,3,VERTICAL,AVAI,0,NEW,WEB,EXTERNAL,UNPREDICTABLE,0,0,0,0,1,0,1,1,Retain
185,PRODIMP,SOME_FIN_PROD,REVSUP,13,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,556,LOW,HIGH,3,HORIZONTAL,AVAI,1,EMAN,DESKTOP,EXTERNAL,UNPREDICTABLE,0,0,0,1,1,1,1,1,Develop
186,PRODIMP,SOME_FIN_PROD,RISKSUP,61,NO_CONFIDENTIALITY_REQUIREMENT,BU,INTERFACES,INTERNATIONAL,0,559,MEDIUM,HIGH,5,VERTICAL,NONE,0,NEW,WEB,INTERNAL,UNPREDICTABLE,0,0,0,0,1,1,1,1,Migrate
187,NONCRI,LARGE_FIN_COMP,REVSUP,40,APPROVED_PUBLIC_DATACENTER,BU,SOA,NATIONAL,0,562,LOW,HIGH,4,VERTICAL,BOTH,0,NEW,DESKTOP,EXTERNAL,NO_VARIATIOn,0,0,0,0,1,0,1,1,Retain
